Date,Time,Police Station,City,State,Crime Type,Fir Number
2022-04-14,06:56:55,Park Street Police Station,Chennai,Tamil Nadu,Murder,FIR005087
2022-06-29,05:31:39,Lajpat Nagar Police Station,Chennai,Tamil Nadu,Fraud,FIR005088
2023-02-19,13:20:32,Park Street Police Station,Ahmedabad,Gujarat,Kidnapping,FIR005089
2023-01-08,09:32:09,Connaught Place Police Station,Lucknow,Uttar Pradesh,Robbery,FIR005090
2022-05-26,10:19:30,Bandra Police Station,Mumbai,Maharashtra,Murder,FIR005091
2021-01-02,12:12:05,MG Road Police Station,Chennai,Tamil Nadu,Theft,FIR005092
2024-08-19,00:19:49,Sector 18 Police Station,New Delhi,Delhi,Cyber Crime,FIR005093
2024-05-29,21:18:53,Sector 18 Police Station,Hyderabad,Telangana,Fraud,FIR005094
2023-08-16,11:28:30,Park Street Police Station,Ahmedabad,Gujarat,Murder,FIR005095
2023-07-29,23:53:35,Lajpat Nagar Police Station,Hyderabad,Telangana,Cyber Crime,FIR005096
2022-10-03,17:29:21,Sector 18 Police Station,Hyderabad,Telangana,Fraud,FIR005097
2022-11-01,01:55:26,Lajpat Nagar Police Station,Mumbai,Maharashtra,Kidnapping,FIR005098
2021-03-19,22:38:15,MG Road Police Station,Jaipur,Rajasthan,Cyber Crime,FIR005099
2023-03-30,06:40:57,MG Road Police Station,Mumbai,Maharashtra,Assault,FIR005100
2023-12-02,06:28:46,Bandra Police Station,Bengaluru,Karnataka,Murder,FIR005101
2021-03-30,22:23:40,Bandra Police Station,Kolkata,West Bengal,Fraud,FIR005102
2021-02-08,05:15:29,Nungambakkam Police Station,Kolkata,West Bengal,Assault,FIR005103
2021-04-02,03:49:38,Cantonment Police Station,Mumbai,Maharashtra,Kidnapping,FIR005104
2024-05-11,23:59:45,Park Street Police Station,Bengaluru,Karnataka,Assault,FIR005105
2022-06-14,11:42:54,Park Street Police Station,Mumbai,Maharashtra,Theft,FIR005106
2022-08-03,14:17:01,MG Road Police Station,New Delhi,Delhi,Murder,FIR005107
2024-04-12,17:41:39,Lajpat Nagar Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR005108
2021-11-03,23:29:53,Bandra Police Station,Mumbai,Maharashtra,Cyber Crime,FIR005109
2023-04-28,06:54:18,Connaught Place Police Station,Hyderabad,Telangana,Kidnapping,FIR005110
2024-03-06,22:07:23,Cantonment Police Station,Bengaluru,Karnataka,Robbery,FIR005111
2021-11-04,18:31:59,MG Road Police Station,Chennai,Tamil Nadu,Theft,FIR005112
2022-05-25,06:26:28,Sector 18 Police Station,Patna,Bihar,Cyber Crime,FIR005113
2024-03-29,02:59:29,Connaught Place Police Station,Ahmedabad,Gujarat,Kidnapping,FIR005114
2022-03-10,10:38:31,Bandra Police Station,Hyderabad,Telangana,Fraud,FIR005115
2023-02-27,19:37:31,Connaught Place Police Station,Patna,Bihar,Robbery,FIR005116
2021-12-04,17:36:44,Nungambakkam Police Station,New Delhi,Delhi,Cyber Crime,FIR005117
2023-12-08,02:26:07,Connaught Place Police Station,Patna,Bihar,Robbery,FIR005118
2023-01-27,00:14:03,Connaught Place Police Station,Kolkata,West Bengal,Cyber Crime,FIR005119
2024-02-17,05:09:39,Cantonment Police Station,Bengaluru,Karnataka,Murder,FIR005120
2024-05-05,17:25:17,Park Street Police Station,Kolkata,West Bengal,Murder,FIR005121
2023-08-31,17:45:25,Nungambakkam Police Station,Hyderabad,Telangana,Assault,FIR005122
2022-08-25,17:06:13,Connaught Place Police Station,Chennai,Tamil Nadu,Robbery,FIR005123
2024-05-06,06:18:40,Bandra Police Station,Jaipur,Rajasthan,Cyber Crime,FIR005124
2021-12-06,05:24:10,Connaught Place Police Station,New Delhi,Delhi,Robbery,FIR005125
2021-03-17,07:07:12,Lajpat Nagar Police Station,Patna,Bihar,Fraud,FIR005126
2020-09-30,06:14:18,Bandra Police Station,Bengaluru,Karnataka,Robbery,FIR005127
2024-07-25,23:03:34,Cantonment Police Station,Hyderabad,Telangana,Fraud,FIR005128
2024-04-19,19:26:34,Bandra Police Station,Bengaluru,Karnataka,Cyber Crime,FIR005129
2022-05-25,06:05:50,Cantonment Police Station,Mumbai,Maharashtra,Cyber Crime,FIR005130
2022-07-22,19:35:28,Bandra Police Station,Patna,Bihar,Robbery,FIR005131
2022-04-17,20:35:16,Bandra Police Station,Ahmedabad,Gujarat,Robbery,FIR005132
2023-09-25,14:26:31,Lajpat Nagar Police Station,Chennai,Tamil Nadu,Murder,FIR005133
2023-06-16,23:19:50,Sector 18 Police Station,Ahmedabad,Gujarat,Murder,FIR005134
2024-01-03,20:39:47,Cantonment Police Station,Bengaluru,Karnataka,Fraud,FIR005135
2021-05-01,01:25:23,Connaught Place Police Station,Hyderabad,Telangana,Theft,FIR005136
2020-10-15,20:48:58,Lajpat Nagar Police Station,Patna,Bihar,Fraud,FIR005137
2021-04-18,01:28:15,Cantonment Police Station,Bengaluru,Karnataka,Fraud,FIR005138
2024-07-29,23:29:48,Bandra Police Station,Patna,Bihar,Assault,FIR005139
2021-09-24,00:15:57,Sector 18 Police Station,Bengaluru,Karnataka,Kidnapping,FIR005140
2024-01-25,23:25:03,Connaught Place Police Station,Jaipur,Rajasthan,Assault,FIR005141
2022-10-30,18:01:38,Nungambakkam Police Station,Chennai,Tamil Nadu,Robbery,FIR005142
2021-01-21,07:07:45,Nungambakkam Police Station,Mumbai,Maharashtra,Cyber Crime,FIR005143
2022-10-03,22:23:01,Connaught Place Police Station,New Delhi,Delhi,Cyber Crime,FIR005144
2024-07-19,10:39:40,Bandra Police Station,Kolkata,West Bengal,Assault,FIR005145
2023-06-17,02:24:34,Cantonment Police Station,Bengaluru,Karnataka,Assault,FIR005146
2020-09-24,12:55:06,Nungambakkam Police Station,Mumbai,Maharashtra,Murder,FIR005147
2020-09-18,09:44:25,Connaught Place Police Station,Patna,Bihar,Theft,FIR005148
2020-12-06,01:24:16,Connaught Place Police Station,Bengaluru,Karnataka,Cyber Crime,FIR005149
2021-01-01,00:52:56,Nungambakkam Police Station,Hyderabad,Telangana,Fraud,FIR005150
2024-04-19,01:47:16,Bandra Police Station,Chennai,Tamil Nadu,Fraud,FIR005151
2024-01-03,18:08:18,Nungambakkam Police Station,Hyderabad,Telangana,Cyber Crime,FIR005152
2021-08-12,03:49:39,Lajpat Nagar Police Station,Bengaluru,Karnataka,Cyber Crime,FIR005153
2021-05-12,23:01:28,Sector 18 Police Station,Chennai,Tamil Nadu,Robbery,FIR005154
2022-01-14,00:57:40,Lajpat Nagar Police Station,Ahmedabad,Gujarat,Murder,FIR005155
2023-01-14,02:30:49,Park Street Police Station,Jaipur,Rajasthan,Murder,FIR005156
2023-02-28,17:29:57,Park Street Police Station,Lucknow,Uttar Pradesh,Theft,FIR005157
2023-11-13,11:29:09,Park Street Police Station,Mumbai,Maharashtra,Cyber Crime,FIR005158
2023-05-30,05:38:31,Nungambakkam Police Station,Patna,Bihar,Murder,FIR005159
2024-07-01,16:42:58,MG Road Police Station,New Delhi,Delhi,Robbery,FIR005160
2024-03-09,21:20:34,MG Road Police Station,Hyderabad,Telangana,Assault,FIR005161
2020-10-18,20:36:17,Connaught Place Police Station,Mumbai,Maharashtra,Murder,FIR005162
2020-12-07,19:17:32,Bandra Police Station,Chennai,Tamil Nadu,Fraud,FIR005163
2021-11-04,15:32:04,MG Road Police Station,Jaipur,Rajasthan,Fraud,FIR005164
2021-08-07,15:08:57,Park Street Police Station,Jaipur,Rajasthan,Kidnapping,FIR005165
2021-02-02,17:28:38,MG Road Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR005166
2021-10-16,20:57:43,Bandra Police Station,Kolkata,West Bengal,Murder,FIR005167
2021-09-16,20:34:17,MG Road Police Station,Ahmedabad,Gujarat,Murder,FIR005168
2021-01-31,19:56:06,MG Road Police Station,New Delhi,Delhi,Cyber Crime,FIR005169
2024-06-16,01:16:16,Sector 18 Police Station,New Delhi,Delhi,Murder,FIR005170
2021-10-29,22:10:32,Bandra Police Station,Bengaluru,Karnataka,Assault,FIR005171
2020-11-05,02:39:51,Bandra Police Station,Lucknow,Uttar Pradesh,Fraud,FIR005172
2021-04-23,21:54:54,Park Street Police Station,New Delhi,Delhi,Theft,FIR005173
2023-11-21,15:39:39,Connaught Place Police Station,Kolkata,West Bengal,Kidnapping,FIR005174
2021-03-08,02:51:41,Nungambakkam Police Station,New Delhi,Delhi,Kidnapping,FIR005175
2023-03-21,18:41:31,MG Road Police Station,Bengaluru,Karnataka,Murder,FIR005176
2024-06-24,05:43:59,Nungambakkam Police Station,Chennai,Tamil Nadu,Robbery,FIR005177
2023-07-06,11:57:13,Bandra Police Station,New Delhi,Delhi,Robbery,FIR005178
2024-06-11,04:12:37,Sector 18 Police Station,Kolkata,West Bengal,Cyber Crime,FIR005179
2023-06-09,19:12:33,Sector 18 Police Station,New Delhi,Delhi,Fraud,FIR005180
2022-11-14,08:21:47,Bandra Police Station,New Delhi,Delhi,Robbery,FIR005181
2023-02-02,15:41:34,Lajpat Nagar Police Station,Jaipur,Rajasthan,Theft,FIR005182
2022-05-05,21:18:48,Park Street Police Station,Hyderabad,Telangana,Assault,FIR005183
2022-02-01,11:21:42,Cantonment Police Station,Chennai,Tamil Nadu,Kidnapping,FIR005184
2023-07-14,20:22:56,Connaught Place Police Station,Hyderabad,Telangana,Kidnapping,FIR005185
2020-10-13,00:35:23,Bandra Police Station,Ahmedabad,Gujarat,Fraud,FIR005186
2022-03-11,03:37:31,Nungambakkam Police Station,New Delhi,Delhi,Theft,FIR005187
2023-12-10,03:10:29,MG Road Police Station,New Delhi,Delhi,Fraud,FIR005188
2022-06-13,21:09:27,Park Street Police Station,Patna,Bihar,Fraud,FIR005189
2021-06-30,15:24:07,Bandra Police Station,Patna,Bihar,Theft,FIR005190
2021-02-20,06:02:02,Nungambakkam Police Station,Hyderabad,Telangana,Kidnapping,FIR005191
2021-06-28,04:15:40,Bandra Police Station,Hyderabad,Telangana,Theft,FIR005192
2021-09-08,09:38:24,Park Street Police Station,Hyderabad,Telangana,Fraud,FIR005193
2024-04-03,16:05:54,Park Street Police Station,Mumbai,Maharashtra,Murder,FIR005194
2021-10-06,22:12:37,Lajpat Nagar Police Station,Kolkata,West Bengal,Cyber Crime,FIR005195
2021-09-05,18:56:33,Nungambakkam Police Station,Chennai,Tamil Nadu,Kidnapping,FIR005196
2022-06-10,06:57:06,Bandra Police Station,Bengaluru,Karnataka,Robbery,FIR005197
2022-08-17,12:49:40,MG Road Police Station,Patna,Bihar,Cyber Crime,FIR005198
2024-01-09,02:40:19,Connaught Place Police Station,New Delhi,Delhi,Kidnapping,FIR005199
2023-11-03,13:27:26,Sector 18 Police Station,Lucknow,Uttar Pradesh,Robbery,FIR005200
2022-10-10,09:05:19,Sector 18 Police Station,Mumbai,Maharashtra,Fraud,FIR005201
2021-11-21,00:08:42,Nungambakkam Police Station,Hyderabad,Telangana,Cyber Crime,FIR005202
2022-07-02,15:53:48,MG Road Police Station,Kolkata,West Bengal,Cyber Crime,FIR005203
2022-09-30,04:04:08,Lajpat Nagar Police Station,Lucknow,Uttar Pradesh,Fraud,FIR005204
2023-10-27,03:51:40,Connaught Place Police Station,Lucknow,Uttar Pradesh,Fraud,FIR005205
2021-11-30,02:09:02,Cantonment Police Station,Hyderabad,Telangana,Cyber Crime,FIR005206
2021-11-08,17:08:36,Connaught Place Police Station,New Delhi,Delhi,Assault,FIR005207
2022-05-21,16:34:56,Bandra Police Station,Kolkata,West Bengal,Murder,FIR005208
2022-05-10,01:26:17,MG Road Police Station,Hyderabad,Telangana,Murder,FIR005209
2023-08-07,18:04:29,Connaught Place Police Station,Mumbai,Maharashtra,Cyber Crime,FIR005210
2023-07-03,04:03:10,MG Road Police Station,Ahmedabad,Gujarat,Theft,FIR005211
2023-08-21,05:42:05,Sector 18 Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR005212
2023-08-03,20:32:12,Bandra Police Station,Hyderabad,Telangana,Robbery,FIR005213
2021-07-28,22:18:43,Park Street Police Station,Ahmedabad,Gujarat,Theft,FIR005214
2022-06-19,19:12:37,Park Street Police Station,Jaipur,Rajasthan,Murder,FIR005215
2022-05-05,06:48:05,Park Street Police Station,Lucknow,Uttar Pradesh,Kidnapping,FIR005216
2021-04-04,05:12:01,Park Street Police Station,Ahmedabad,Gujarat,Theft,FIR005217
2022-09-29,01:28:02,Cantonment Police Station,Patna,Bihar,Cyber Crime,FIR005218
2022-01-15,11:06:31,Park Street Police Station,Ahmedabad,Gujarat,Kidnapping,FIR005219
2022-03-26,17:47:20,MG Road Police Station,Lucknow,Uttar Pradesh,Fraud,FIR005220
2021-07-06,15:13:01,Sector 18 Police Station,Lucknow,Uttar Pradesh,Fraud,FIR005221
2023-10-29,18:55:47,Connaught Place Police Station,Ahmedabad,Gujarat,Kidnapping,FIR005222
2023-06-14,01:03:15,Sector 18 Police Station,Hyderabad,Telangana,Cyber Crime,FIR005223
2022-09-04,15:06:56,Park Street Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR005224
2022-04-04,09:11:16,Lajpat Nagar Police Station,Hyderabad,Telangana,Cyber Crime,FIR005225
2021-04-21,01:28:45,Bandra Police Station,Lucknow,Uttar Pradesh,Kidnapping,FIR005226
2024-04-10,23:29:27,Bandra Police Station,Patna,Bihar,Kidnapping,FIR005227
2022-07-23,03:25:23,Cantonment Police Station,Hyderabad,Telangana,Murder,FIR005228
2020-09-24,04:24:09,Sector 18 Police Station,Jaipur,Rajasthan,Robbery,FIR005229
2023-09-05,12:21:41,Nungambakkam Police Station,Lucknow,Uttar Pradesh,Theft,FIR005230
2022-01-25,08:45:05,Lajpat Nagar Police Station,Mumbai,Maharashtra,Fraud,FIR005231
2023-01-17,20:54:41,Cantonment Police Station,Bengaluru,Karnataka,Fraud,FIR005232
2022-10-04,15:53:41,Park Street Police Station,Lucknow,Uttar Pradesh,Kidnapping,FIR005233
2022-09-23,03:32:04,MG Road Police Station,Patna,Bihar,Robbery,FIR005234
2022-04-28,06:11:03,MG Road Police Station,Hyderabad,Telangana,Robbery,FIR005235
2023-11-16,16:43:35,MG Road Police Station,Lucknow,Uttar Pradesh,Assault,FIR005236
2024-05-24,05:05:36,Sector 18 Police Station,Bengaluru,Karnataka,Theft,FIR005237
2021-04-12,13:51:09,Lajpat Nagar Police Station,Chennai,Tamil Nadu,Murder,FIR005238
2022-05-09,10:02:18,Nungambakkam Police Station,New Delhi,Delhi,Kidnapping,FIR005239
2021-01-02,07:07:21,Connaught Place Police Station,Patna,Bihar,Robbery,FIR005240
2023-03-30,10:03:12,Park Street Police Station,Patna,Bihar,Fraud,FIR005241
2024-09-12,09:32:52,Bandra Police Station,Bengaluru,Karnataka,Fraud,FIR005242
2024-04-04,10:21:04,Park Street Police Station,Hyderabad,Telangana,Theft,FIR005243
2023-03-13,18:36:17,Park Street Police Station,Patna,Bihar,Murder,FIR005244
2023-05-03,08:33:35,Connaught Place Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR005245
2021-12-09,12:01:10,Cantonment Police Station,Ahmedabad,Gujarat,Murder,FIR005246
2023-08-25,05:36:51,Lajpat Nagar Police Station,New Delhi,Delhi,Robbery,FIR005247
2023-08-30,08:23:27,Cantonment Police Station,Ahmedabad,Gujarat,Cyber Crime,FIR005248
2021-10-19,14:26:00,Sector 18 Police Station,Mumbai,Maharashtra,Fraud,FIR005249
2021-10-16,02:56:56,Sector 18 Police Station,New Delhi,Delhi,Theft,FIR005250
2022-01-18,06:58:25,Park Street Police Station,Mumbai,Maharashtra,Theft,FIR005251
2021-07-21,05:12:46,Bandra Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR005252
2021-12-17,03:52:42,Sector 18 Police Station,Hyderabad,Telangana,Assault,FIR005253
2022-04-04,15:40:52,Park Street Police Station,Kolkata,West Bengal,Murder,FIR005254
2023-10-07,12:49:12,Connaught Place Police Station,Bengaluru,Karnataka,Kidnapping,FIR005255
2022-03-04,21:25:49,Cantonment Police Station,Bengaluru,Karnataka,Cyber Crime,FIR005256
2022-11-23,06:12:51,Nungambakkam Police Station,New Delhi,Delhi,Murder,FIR005257
2023-11-26,04:18:08,MG Road Police Station,Hyderabad,Telangana,Kidnapping,FIR005258
2022-06-04,10:18:29,Bandra Police Station,Kolkata,West Bengal,Robbery,FIR005259
2024-01-24,05:35:05,MG Road Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR005260
2023-05-21,16:01:06,MG Road Police Station,Lucknow,Uttar Pradesh,Robbery,FIR005261
2022-06-01,10:44:25,Park Street Police Station,Jaipur,Rajasthan,Assault,FIR005262
2021-03-05,06:40:51,Nungambakkam Police Station,New Delhi,Delhi,Cyber Crime,FIR005263
2021-02-27,14:00:47,Park Street Police Station,Jaipur,Rajasthan,Murder,FIR005264
2023-05-20,04:13:33,Nungambakkam Police Station,Patna,Bihar,Kidnapping,FIR005265
2022-12-23,00:28:56,Park Street Police Station,Chennai,Tamil Nadu,Theft,FIR005266
2022-09-09,23:41:35,Nungambakkam Police Station,Hyderabad,Telangana,Assault,FIR005267
2023-09-06,09:02:31,Sector 18 Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR005268
2024-06-11,18:47:49,Connaught Place Police Station,Kolkata,West Bengal,Murder,FIR005269
2023-07-09,20:33:55,Connaught Place Police Station,Hyderabad,Telangana,Murder,FIR005270
2024-05-20,13:32:40,Sector 18 Police Station,Hyderabad,Telangana,Assault,FIR005271
2022-08-04,12:59:10,Sector 18 Police Station,Bengaluru,Karnataka,Murder,FIR005272
2024-03-28,16:54:40,Connaught Place Police Station,Kolkata,West Bengal,Fraud,FIR005273
2023-01-07,05:18:40,Nungambakkam Police Station,Mumbai,Maharashtra,Theft,FIR005274
2020-10-24,00:16:19,MG Road Police Station,New Delhi,Delhi,Kidnapping,FIR005275
2024-01-12,17:04:15,Park Street Police Station,Lucknow,Uttar Pradesh,Kidnapping,FIR005276
2022-01-17,04:11:27,Lajpat Nagar Police Station,Jaipur,Rajasthan,Cyber Crime,FIR005277
2022-09-10,15:54:13,Lajpat Nagar Police Station,Mumbai,Maharashtra,Fraud,FIR005278
2024-05-21,02:19:08,Park Street Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR005279
2023-07-16,06:51:05,MG Road Police Station,Hyderabad,Telangana,Cyber Crime,FIR005280
2020-11-30,12:59:03,Connaught Place Police Station,Mumbai,Maharashtra,Theft,FIR005281
2023-08-06,10:32:54,Park Street Police Station,Lucknow,Uttar Pradesh,Robbery,FIR005282
2020-12-11,20:39:35,Lajpat Nagar Police Station,Mumbai,Maharashtra,Kidnapping,FIR005283
2021-02-20,09:43:13,Nungambakkam Police Station,Hyderabad,Telangana,Robbery,FIR005284
2023-04-09,04:13:36,Sector 18 Police Station,Ahmedabad,Gujarat,Theft,FIR005285
2024-09-10,21:00:26,Sector 18 Police Station,Bengaluru,Karnataka,Kidnapping,FIR005286
2023-11-11,01:40:45,Sector 18 Police Station,Jaipur,Rajasthan,Assault,FIR005287
2021-11-11,20:06:55,MG Road Police Station,Mumbai,Maharashtra,Kidnapping,FIR005288
2023-02-21,07:26:20,MG Road Police Station,Hyderabad,Telangana,Robbery,FIR005289
2024-01-04,18:37:38,Park Street Police Station,Mumbai,Maharashtra,Assault,FIR005290
2024-04-16,14:37:48,MG Road Police Station,Jaipur,Rajasthan,Kidnapping,FIR005291
2023-09-23,04:53:53,Park Street Police Station,Hyderabad,Telangana,Kidnapping,FIR005292
2024-05-10,07:20:35,Bandra Police Station,Lucknow,Uttar Pradesh,Kidnapping,FIR005293
2022-12-26,23:18:20,Park Street Police Station,Bengaluru,Karnataka,Cyber Crime,FIR005294
2023-02-25,17:45:12,Sector 18 Police Station,Mumbai,Maharashtra,Murder,FIR005295
2021-03-29,14:43:02,Lajpat Nagar Police Station,Kolkata,West Bengal,Cyber Crime,FIR005296
2022-07-04,12:50:13,Bandra Police Station,Mumbai,Maharashtra,Murder,FIR005297
2021-03-22,05:26:51,Cantonment Police Station,Patna,Bihar,Robbery,FIR005298
2022-02-14,14:19:28,Lajpat Nagar Police Station,Chennai,Tamil Nadu,Robbery,FIR005299
2021-11-11,11:05:23,Park Street Police Station,Lucknow,Uttar Pradesh,Murder,FIR005300
2020-12-24,16:19:25,MG Road Police Station,Hyderabad,Telangana,Fraud,FIR005301
2021-03-10,15:14:14,Sector 18 Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR005302
2023-12-16,09:17:58,Lajpat Nagar Police Station,New Delhi,Delhi,Cyber Crime,FIR005303
2021-08-09,15:05:49,Connaught Place Police Station,New Delhi,Delhi,Robbery,FIR005304
2023-09-15,06:57:29,MG Road Police Station,Lucknow,Uttar Pradesh,Assault,FIR005305
2021-07-21,19:54:54,Nungambakkam Police Station,Hyderabad,Telangana,Robbery,FIR005306
2021-06-26,18:48:43,Bandra Police Station,Mumbai,Maharashtra,Kidnapping,FIR005307
2021-05-17,10:17:19,Connaught Place Police Station,Chennai,Tamil Nadu,Murder,FIR005308
2023-05-25,10:51:27,MG Road Police Station,Jaipur,Rajasthan,Fraud,FIR005309
2021-11-19,09:54:43,Sector 18 Police Station,Bengaluru,Karnataka,Assault,FIR005310
2021-10-12,11:29:00,Park Street Police Station,Kolkata,West Bengal,Fraud,FIR005311
2023-12-12,16:13:46,Park Street Police Station,New Delhi,Delhi,Fraud,FIR005312
2021-06-17,12:28:06,Cantonment Police Station,Hyderabad,Telangana,Theft,FIR005313
2021-07-22,12:56:45,Cantonment Police Station,Kolkata,West Bengal,Assault,FIR005314
2023-07-29,02:16:37,Lajpat Nagar Police Station,New Delhi,Delhi,Robbery,FIR005315
2023-09-25,15:35:36,Sector 18 Police Station,Chennai,Tamil Nadu,Kidnapping,FIR005316
2022-01-22,08:21:35,Lajpat Nagar Police Station,Bengaluru,Karnataka,Cyber Crime,FIR005317
2022-09-25,12:44:59,Bandra Police Station,Hyderabad,Telangana,Cyber Crime,FIR005318
2021-12-02,07:54:00,Nungambakkam Police Station,Hyderabad,Telangana,Kidnapping,FIR005319
2024-06-27,10:49:02,Bandra Police Station,Lucknow,Uttar Pradesh,Assault,FIR005320
2023-05-27,04:05:11,Bandra Police Station,Kolkata,West Bengal,Fraud,FIR005321
2024-07-05,20:33:43,Connaught Place Police Station,Chennai,Tamil Nadu,Kidnapping,FIR005322
2023-04-09,08:02:08,MG Road Police Station,New Delhi,Delhi,Theft,FIR005323
2023-01-23,11:27:02,Nungambakkam Police Station,Lucknow,Uttar Pradesh,Murder,FIR005324
2022-06-01,21:29:17,Bandra Police Station,New Delhi,Delhi,Theft,FIR005325
2022-06-26,15:23:45,Park Street Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR005326
2023-06-06,12:48:10,Lajpat Nagar Police Station,Hyderabad,Telangana,Fraud,FIR005327
2023-11-20,09:40:36,Connaught Place Police Station,New Delhi,Delhi,Murder,FIR005328
2023-11-08,23:11:44,Nungambakkam Police Station,Kolkata,West Bengal,Theft,FIR005329
2023-09-07,07:54:00,Bandra Police Station,Patna,Bihar,Fraud,FIR005330
2020-11-10,19:03:10,Sector 18 Police Station,Patna,Bihar,Theft,FIR005331
2023-05-20,19:53:04,Bandra Police Station,Ahmedabad,Gujarat,Murder,FIR005332
2024-08-27,11:13:54,Sector 18 Police Station,Kolkata,West Bengal,Cyber Crime,FIR005333
2022-07-22,04:54:35,Park Street Police Station,Kolkata,West Bengal,Kidnapping,FIR005334
2020-12-11,01:31:39,Park Street Police Station,Kolkata,West Bengal,Cyber Crime,FIR005335
2023-10-07,19:19:44,Connaught Place Police Station,Patna,Bihar,Robbery,FIR005336
2022-12-03,03:49:30,Nungambakkam Police Station,Bengaluru,Karnataka,Kidnapping,FIR005337
2024-02-03,16:26:38,MG Road Police Station,Bengaluru,Karnataka,Assault,FIR005338
2024-03-24,13:24:09,Connaught Place Police Station,Chennai,Tamil Nadu,Murder,FIR005339
2021-08-16,00:09:00,Bandra Police Station,Jaipur,Rajasthan,Kidnapping,FIR005340
2023-10-27,19:28:43,Park Street Police Station,Bengaluru,Karnataka,Fraud,FIR005341
2024-07-15,03:23:41,Bandra Police Station,Hyderabad,Telangana,Fraud,FIR005342
2021-08-06,21:38:03,MG Road Police Station,Ahmedabad,Gujarat,Kidnapping,FIR005343
2021-08-02,18:19:27,Bandra Police Station,Patna,Bihar,Cyber Crime,FIR005344
2024-02-16,00:17:29,Cantonment Police Station,Mumbai,Maharashtra,Cyber Crime,FIR005345
2021-01-13,16:09:55,Lajpat Nagar Police Station,Bengaluru,Karnataka,Cyber Crime,FIR005346
2022-08-22,16:19:50,Sector 18 Police Station,Patna,Bihar,Fraud,FIR005347
2021-10-15,04:16:23,MG Road Police Station,Bengaluru,Karnataka,Cyber Crime,FIR005348
2024-08-26,03:20:32,Bandra Police Station,Kolkata,West Bengal,Cyber Crime,FIR005349
2022-10-20,09:18:00,MG Road Police Station,Lucknow,Uttar Pradesh,Kidnapping,FIR005350
2023-02-16,23:25:48,Connaught Place Police Station,Jaipur,Rajasthan,Fraud,FIR005351
2023-09-08,18:11:07,MG Road Police Station,Hyderabad,Telangana,Fraud,FIR005352
2023-06-22,08:43:10,Lajpat Nagar Police Station,Lucknow,Uttar Pradesh,Murder,FIR005353
2024-06-19,15:35:40,Cantonment Police Station,Hyderabad,Telangana,Robbery,FIR005354
2021-04-26,09:24:05,Cantonment Police Station,Lucknow,Uttar Pradesh,Theft,FIR005355
2024-03-25,11:21:33,MG Road Police Station,Chennai,Tamil Nadu,Murder,FIR005356
2023-12-17,19:53:37,Lajpat Nagar Police Station,Bengaluru,Karnataka,Fraud,FIR005357
2022-05-07,12:31:58,Connaught Place Police Station,Jaipur,Rajasthan,Fraud,FIR005358
2023-09-30,10:07:28,Lajpat Nagar Police Station,Hyderabad,Telangana,Kidnapping,FIR005359
2021-10-05,23:15:05,Sector 18 Police Station,Kolkata,West Bengal,Assault,FIR005360
2021-05-27,07:01:34,Bandra Police Station,Kolkata,West Bengal,Theft,FIR005361
2023-06-27,20:32:35,Sector 18 Police Station,Hyderabad,Telangana,Theft,FIR005362
2024-09-02,22:41:59,Park Street Police Station,Lucknow,Uttar Pradesh,Kidnapping,FIR005363
2022-02-09,06:57:02,Connaught Place Police Station,Kolkata,West Bengal,Assault,FIR005364
2023-08-29,07:58:09,Sector 18 Police Station,Jaipur,Rajasthan,Theft,FIR005365
2021-11-02,02:19:40,Park Street Police Station,Ahmedabad,Gujarat,Assault,FIR005366
2022-04-01,07:16:04,Lajpat Nagar Police Station,Lucknow,Uttar Pradesh,Kidnapping,FIR005367
2023-04-30,07:12:23,MG Road Police Station,Patna,Bihar,Kidnapping,FIR005368
2021-07-13,09:53:06,Sector 18 Police Station,Chennai,Tamil Nadu,Kidnapping,FIR005369
2021-02-06,09:23:04,Bandra Police Station,Chennai,Tamil Nadu,Fraud,FIR005370
2021-11-22,04:49:04,Connaught Place Police Station,Bengaluru,Karnataka,Murder,FIR005371
2023-08-08,01:28:05,MG Road Police Station,Patna,Bihar,Cyber Crime,FIR005372
2023-11-09,04:50:11,Park Street Police Station,Mumbai,Maharashtra,Kidnapping,FIR005373
2023-04-11,23:22:38,MG Road Police Station,New Delhi,Delhi,Fraud,FIR005374
2024-05-24,06:23:09,Nungambakkam Police Station,New Delhi,Delhi,Murder,FIR005375
2023-10-22,07:54:56,Cantonment Police Station,Bengaluru,Karnataka,Murder,FIR005376
2022-01-13,15:01:24,Bandra Police Station,Mumbai,Maharashtra,Fraud,FIR005377
2020-11-09,16:19:55,Cantonment Police Station,Patna,Bihar,Theft,FIR005378
2022-06-12,02:09:12,Bandra Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR005379
